Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.273,0.279,0.287,0.297,0.292,0.310,0.319,0.323,0.324,0.332,0.335,0.337,0.362,0.376,0.392,0.400,0.409,0.424,0.430,0.440,0.448,0.456,0.466,0.474,0.479,0.478,0.481,0.482,0.483,0.488,0.483,0.478
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",0.332,0.339,0.349,0.361,0.355,0.376,0.386,0.391,0.392,0.402,0.406,0.409,0.437,0.453,0.472,0.481,0.492,0.509,0.517,0.529,0.539,0.542,0.548,0.552,0.553,0.548,0.551,0.553,0.555,0.561,0.556,0.550
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",0.281,0.288,0.297,0.308,0.302,0.322,0.332,0.336,0.337,0.347,0.350,0.352,0.379,0.394,0.412,0.421,0.430,0.446,0.452,0.463,0.472,0.475,0.480,0.483,0.483,0.477,0.479,0.479,0.480,0.484,0.479,0.472
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",0.287,0.293,0.301,0.311,0.304,0.323,0.332,0.336,0.336,0.345,0.348,0.350,0.376,0.390,0.407,0.415,0.424,0.440,0.446,0.457,0.466,0.466,0.468,0.469,0.466,0.459,0.461,0.463,0.464,0.469,0.464,0.459
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",0.259,0.265,0.274,0.284,0.278,0.297,0.305,0.310,0.310,0.319,0.322,0.324,0.349,0.362,0.379,0.386,0.395,0.410,0.416,0.425,0.433,0.449,0.466,0.480,0.492,0.497,0.500,0.501,0.502,0.507,0.502,0.497
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",0.266,0.272,0.281,0.291,0.285,0.304,0.312,0.317,0.318,0.326,0.329,0.332,0.356,0.369,0.386,0.394,0.403,0.417,0.423,0.433,0.441,0.444,0.448,0.451,0.451,0.445,0.448,0.449,0.449,0.454,0.449,0.444
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",0.213,0.218,0.224,0.231,0.226,0.240,0.246,0.249,0.250,0.256,0.258,0.260,0.279,0.289,0.301,0.307,0.314,0.326,0.330,0.338,0.345,0.361,0.378,0.392,0.402,0.407,0.409,0.411,0.411,0.416,0.412,0.407
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",0.274,0.280,0.288,0.299,0.294,0.312,0.321,0.325,0.326,0.335,0.338,0.340,0.365,0.378,0.394,0.402,0.411,0.426,0.433,0.443,0.451,0.459,0.468,0.475,0.479,0.478,0.480,0.481,0.482,0.487,0.481,0.476
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",0.252,0.259,0.267,0.277,0.272,0.290,0.298,0.302,0.303,0.312,0.315,0.317,0.341,0.353,0.370,0.377,0.386,0.400,0.405,0.415,0.423,0.430,0.439,0.446,0.450,0.448,0.451,0.452,0.452,0.457,0.452,0.447
"Albania","Europe","ALB","National","ALBt","Total",0.647,0.629,0.614,0.617,0.624,0.634,0.645,0.642,0.657,0.669,0.677,0.684,0.689,0.696,0.700,0.711,0.718,0.730,0.736,0.741,0.754,0.766,0.778,0.785,0.792,0.795,0.798,0.802,0.806,0.810,0.794,0.796
"Albania","Europe","ALB","Subnat","ALBr201"," Berat",0.647,0.630,0.615,0.618,0.624,0.635,0.645,0.643,0.658,0.669,0.677,0.685,0.689,0.696,0.701,0.712,0.719,0.730,0.737,0.742,0.753,0.764,0.774,0.779,0.784,0.786,0.786,0.789,0.793,0.797,0.781,0.783
"Albania","Europe","ALB","Subnat","ALBr202"," Diber",0.632,0.615,0.600,0.603,0.610,0.619,0.630,0.628,0.642,0.654,0.661,0.669,0.673,0.680,0.685,0.695,0.695,0.700,0.699,0.697,0.710,0.722,0.734,0.742,0.749,0.753,0.756,0.761,0.765,0.769,0.754,0.756
"Albania","Europe","ALB","Subnat","ALBr203"," Durres",0.640,0.623,0.608,0.611,0.618,0.628,0.638,0.636,0.651,0.662,0.670,0.678,0.682,0.690,0.694,0.704,0.711,0.722,0.728,0.732,0.747,0.762,0.775,0.785,0.794,0.799,0.803,0.809,0.813,0.818,0.801,0.803
"Albania","Europe","ALB","Subnat","ALBr204"," Elbasan",0.640,0.623,0.607,0.611,0.617,0.627,0.638,0.635,0.650,0.662,0.670,0.677,0.682,0.689,0.693,0.704,0.707,0.713,0.715,0.715,0.730,0.744,0.757,0.767,0.776,0.781,0.785,0.791,0.794,0.799,0.783,0.785
"Albania","Europe","ALB","Subnat","ALBr205"," Fier",0.636,0.618,0.603,0.607,0.613,0.623,0.634,0.631,0.646,0.658,0.666,0.674,0.678,0.685,0.690,0.700,0.706,0.717,0.722,0.726,0.737,0.748,0.758,0.763,0.769,0.770,0.771,0.774,0.778,0.782,0.767,0.769
"Albania","Europe","ALB","Subnat","ALBr206"," Gjirokaster",0.665,0.648,0.631,0.634,0.640,0.651,0.661,0.659,0.674,0.685,0.693,0.701,0.705,0.713,0.717,0.728,0.731,0.738,0.739,0.740,0.753,0.766,0.777,0.785,0.792,0.795,0.798,0.802,0.806,0.811,0.795,0.797
"Albania","Europe","ALB","Subnat","ALBr207"," Korce",0.644,0.627,0.611,0.614,0.621,0.631,0.641,0.639,0.654,0.665,0.673,0.681,0.685,0.692,0.697,0.707,0.714,0.726,0.732,0.737,0.750,0.762,0.773,0.781,0.788,0.791,0.793,0.798,0.801,0.806,0.790,0.792
"Albania","Europe","ALB","Subnat","ALBr208"," Kukes",0.623,0.606,0.592,0.595,0.601,0.611,0.621,0.619,0.634,0.645,0.652,0.660,0.664,0.671,0.675,0.685,0.693,0.705,0.711,0.717,0.727,0.737,0.745,0.750,0.754,0.755,0.756,0.758,0.762,0.766,0.752,0.754
"Albania","Europe","ALB","Subnat","ALBr209"," Lezhe",0.619,0.602,0.587,0.590,0.597,0.607,0.617,0.614,0.629,0.640,0.648,0.655,0.659,0.666,0.671,0.681,0.690,0.702,0.710,0.717,0.729,0.742,0.753,0.760,0.767,0.770,0.772,0.776,0.780,0.784,0.769,0.771
"Albania","Europe","ALB","Subnat","ALBr210"," Shkoder",0.648,0.630,0.615,0.618,0.625,0.635,0.645,0.643,0.658,0.669,0.677,0.685,0.689,0.696,0.701,0.712,0.716,0.725,0.729,0.731,0.744,0.756,0.767,0.775,0.782,0.785,0.787,0.791,0.795,0.799,0.783,0.785
"Albania","Europe","ALB","Subnat","ALBr211"," Tirana",0.672,0.654,0.638,0.642,0.648,0.659,0.670,0.667,0.683,0.694,0.703,0.711,0.715,0.723,0.727,0.738,0.748,0.763,0.772,0.780,0.792,0.803,0.812,0.818,0.823,0.824,0.825,0.828,0.832,0.837,0.820,0.822
"Albania","Europe","ALB","Subnat","ALBr212"," Vlore",0.658,0.641,0.625,0.629,0.635,0.645,0.656,0.654,0.669,0.681,0.689,0.697,0.701,0.708,0.713,0.724,0.729,0.738,0.742,0.745,0.759,0.772,0.784,0.792,0.799,0.802,0.805,0.810,0.814,0.818,0.802,0.804
"Algeria","Africa","DZA","National","DZAt","Total",0.591,0.594,0.599,0.601,0.602,0.606,0.617,0.624,0.633,0.641,0.649,0.655,0.664,0.670,0.678,0.685,0.690,0.697,0.705,0.714,0.721,0.727,0.729,0.731,0.735,0.740,0.743,0.744,0.745,0.748,0.736,0.745
"Algeria","Africa","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",0.562,0.565,0.569,0.570,0.571,0.574,0.585,0.592,0.600,0.608,0.615,0.621,0.629,0.636,0.644,0.650,0.656,0.662,0.671,0.680,0.687,0.693,0.695,0.697,0.703,0.709,0.714,0.716,0.720,0.724,0.712,0.722
"Algeria","Africa","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",0.587,0.589,0.594,0.596,0.596,0.600,0.611,0.618,0.626,0.635,0.642,0.648,0.657,0.664,0.673,0.680,0.686,0.694,0.702,0.712,0.720,0.726,0.729,0.732,0.734,0.737,0.738,0.737,0.737,0.737,0.725,0.735
"Algeria","Africa","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",0.573,0.575,0.580,0.582,0.582,0.586,0.597,0.604,0.612,0.620,0.627,0.634,0.642,0.649,0.656,0.663,0.668,0.675,0.683,0.692,0.700,0.706,0.707,0.710,0.715,0.720,0.724,0.726,0.728,0.732,0.720,0.729
